Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataLogin,Chrome 121.0.0.0,,,20-02-2024 12:50:19,20-02-2024 12:50:48,28.623s,PASSED
,,,,,,,
Test Cases/Buzón_login,Chrome 121.0.0.0,,,20-02-2024 12:50:19,20-02-2024 12:50:27,7.853s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,20-02-2024 12:50:20,20-02-2024 12:50:22,2.538s,PASSED
"navigateToUrl(""https://buzon.talisis.com/admin"")",Chrome 121.0.0.0,,,20-02-2024 12:50:22,20-02-2024 12:50:24,2.081s,PASSED
"setText(findTestObject(""Page_TALISIS  Buzon de transparencia/input_Usuario_user""), user)",Chrome 121.0.0.0,,,20-02-2024 12:50:24,20-02-2024 12:50:25,0.718s,PASSED
"setText(findTestObject(""Object Repository/Page_TALISIS  Buzon de transparencia/input_Contrasea_password""), password)",Chrome 121.0.0.0,,,20-02-2024 12:50:25,20-02-2024 12:50:26,0.648s,PASSED
"click(findTestObject(""Page_TALISIS  Buzon de transparencia/button_ACEPTAR""))",Chrome 121.0.0.0,,,20-02-2024 12:50:26,20-02-2024 12:50:27,1.583s,PASSED
,,,,,,,
Test Cases/Buzón_login,Chrome 121.0.0.0,,,20-02-2024 12:50:27,20-02-2024 12:50:33,5.767s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,20-02-2024 12:50:27,20-02-2024 12:50:29,1.349s,PASSED
"navigateToUrl(""https://buzon.talisis.com/admin"")",Chrome 121.0.0.0,,,20-02-2024 12:50:29,20-02-2024 12:50:31,2.550s,PASSED
"setText(findTestObject(""Page_TALISIS  Buzon de transparencia/input_Usuario_user""), user)",Chrome 121.0.0.0,,,20-02-2024 12:50:31,20-02-2024 12:50:32,0.642s,PASSED
"setText(findTestObject(""Object Repository/Page_TALISIS  Buzon de transparencia/input_Contrasea_password""), password)",Chrome 121.0.0.0,,,20-02-2024 12:50:32,20-02-2024 12:50:32,0.629s,PASSED
"click(findTestObject(""Page_TALISIS  Buzon de transparencia/button_ACEPTAR""))",Chrome 121.0.0.0,,,20-02-2024 12:50:32,20-02-2024 12:50:33,0.575s,PASSED
,,,,,,,
Test Cases/Buzón_login,Chrome 121.0.0.0,,,20-02-2024 12:50:33,20-02-2024 12:50:38,5.482s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,20-02-2024 12:50:33,20-02-2024 12:50:34,1.344s,PASSED
"navigateToUrl(""https://buzon.talisis.com/admin"")",Chrome 121.0.0.0,,,20-02-2024 12:50:34,20-02-2024 12:50:37,2.233s,PASSED
"setText(findTestObject(""Page_TALISIS  Buzon de transparencia/input_Usuario_user""), user)",Chrome 121.0.0.0,,,20-02-2024 12:50:37,20-02-2024 12:50:37,0.662s,PASSED
"setText(findTestObject(""Object Repository/Page_TALISIS  Buzon de transparencia/input_Contrasea_password""), password)",Chrome 121.0.0.0,,,20-02-2024 12:50:37,20-02-2024 12:50:38,0.613s,PASSED
"click(findTestObject(""Page_TALISIS  Buzon de transparencia/button_ACEPTAR""))",Chrome 121.0.0.0,,,20-02-2024 12:50:38,20-02-2024 12:50:38,0.593s,PASSED
,,,,,,,
Test Cases/Buzón_login,Chrome 121.0.0.0,,,20-02-2024 12:50:38,20-02-2024 12:50:43,4.481s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,20-02-2024 12:50:38,20-02-2024 12:50:40,1.346s,PASSED
"navigateToUrl(""https://buzon.talisis.com/admin"")",Chrome 121.0.0.0,,,20-02-2024 12:50:40,20-02-2024 12:50:41,1.330s,PASSED
"setText(findTestObject(""Page_TALISIS  Buzon de transparencia/input_Usuario_user""), user)",Chrome 121.0.0.0,,,20-02-2024 12:50:41,20-02-2024 12:50:42,0.636s,PASSED
"setText(findTestObject(""Object Repository/Page_TALISIS  Buzon de transparencia/input_Contrasea_password""), password)",Chrome 121.0.0.0,,,20-02-2024 12:50:42,20-02-2024 12:50:42,0.627s,PASSED
"click(findTestObject(""Page_TALISIS  Buzon de transparencia/button_ACEPTAR""))",Chrome 121.0.0.0,,,20-02-2024 12:50:42,20-02-2024 12:50:43,0.523s,PASSED
,,,,,,,
Test Cases/Buzón_login,Chrome 121.0.0.0,,,20-02-2024 12:50:43,20-02-2024 12:50:48,4.688s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,20-02-2024 12:50:43,20-02-2024 12:50:44,1.300s,PASSED
"navigateToUrl(""https://buzon.talisis.com/admin"")",Chrome 121.0.0.0,,,20-02-2024 12:50:44,20-02-2024 12:50:46,1.553s,PASSED
"setText(findTestObject(""Page_TALISIS  Buzon de transparencia/input_Usuario_user""), user)",Chrome 121.0.0.0,,,20-02-2024 12:50:46,20-02-2024 12:50:46,0.625s,PASSED
"setText(findTestObject(""Object Repository/Page_TALISIS  Buzon de transparencia/input_Contrasea_password""), password)",Chrome 121.0.0.0,,,20-02-2024 12:50:46,20-02-2024 12:50:47,0.625s,PASSED
"click(findTestObject(""Page_TALISIS  Buzon de transparencia/button_ACEPTAR""))",Chrome 121.0.0.0,,,20-02-2024 12:50:47,20-02-2024 12:50:48,0.551s,PASSED
